input_vector,output_vector,circuit
10000001000001000000110000000010000000101,00000001000001000000110000000010,c1355
00010000100010000000000010100000000010101,00010001100010000000000010100000,c1355
00010000000000001000100010100000000010101,00110000000000001000100010100000,c1355
00000000000000110000001100001000000000011,00000000000000110000001100001000,c1355
00100010000100001000100001000001000001011,00100010000100011000100001000001,c1355
00100000000000001010000000010000000100000,00100000000000001010000000010000,c1355
10001000010000100000000000100000011000001,10001000010000100000000000000000,c1355
00000011000010000000000100000000000000100,00000011000010000000000100000000,c1355
10001000010000100001000100000010011000001,10001000010000100001000100100010,c1355
10001000010000010000000000000010010100001,10001000010000010000000000000000,c1355
00000001001010000001001110010000101000111,00000001001010000001001110010000,c1355
00000101000000100000100100000100010000001,00000101000000100000100110000100,c1355
00110000000000000000000010000001001000001,00110010000000000000000010000001,c1355
00000000100100100000000100100100001101011,00000000100100100000000100100100,c1355
00000001000000000000001000011010000100011,00000001000000000000001000011010,c1355
00000000100000000000010100000011000001101,00000000000000000000010100000011,c1355
00000000001010010110000100000000000010000,00000000001010010110000100000000,c1355
00000000110000000100000000100000110000001,00000000110000000100000000100000,c1355
10000100001000000000010110000000001000001,10000100001000001000010110000000,c1355
10001000010000100000000000010000011000001,10001000010000100000000000000000,c1355
00010000010000000000101000000100010001001,00010000000000000000101000000100,c1355
00000100000110000001000010000010100100111,00000100000110000001000010000010,c1355
00000000100000010011000000000000000000101,00000000100000010011001000000000,c1355
00000001001001000000000010010010010100111,00000001001001000000000010010010,c1355
